TouchpointID,LADCode,LocalAuthority,TestText,PostExpectation,DeleteExpectation
"0000000101",E06000031,Peterborough aaaaaaaaa aaaaaaaaa aaaaaaaaa aaaaaaZ,Upper name limit (50),201,200
"0000000102",S06000032,Peterborough aaaaaaaaa aaaaaaaaa aaaaaaaaa aaaaaaaZ,Name too long (51+),422,204
"0000000103",W06000033,Southend-on-Sea 2,Illegal character in name,422,204
"0000000101",E06000031,Pete,Lower name limit (4),201,200
"0000000102",S06000032,Lut,Name too short (3-),422,204
"0000000103",V06000033,Southend-on-Sea,LAD Code illegal prefix,422,204
"0000000101",EO6000031,Peterborough,LAD Code illegal character at start,422,204
"0000000102",S060O0032,Luton,LAD Code illegal character in middle,422,204
"0000000103",W0600003O,Southend-on-Sea,LAD Code illegal character at end,422,204
"0000000101",6000031,Peterborough,LAD Code no prefix,422,204
"0000000102",S0600003,Luton,LAD Code too short,422,204
"0000000103",W060000331,Southend-on-Sea,LAD Code too long,422,204
